key,español,wayuunaiki_provisional,estado,correccion_local,zona_o_comunidad,observaciones
subtitle,Cuaderno comunitario de observación costera,Karalouta wayuu süpüla e'rajawaa palaa,PENDIENTE DE REVISIÓN LOCAL,,,
languageAria,Idioma,Anüiki,PENDIENTE DE REVISIÓN LOCAL,,,
baseMapSelectorAria,Selector de mapa base,Aneekaa mapa süpüla apülee,PENDIENTE DE REVISIÓN LOCAL,,,
mapObservationsAria,Mapa de observaciones,Mapa sümaa e'rajawaa,PENDIENTE DE REVISIÓN LOCAL,,,
zoomControlsAria,Controles de zoom,Akaajaa mapaka,PENDIENTE DE REVISIÓN LOCAL,,,
zoomIn,Acercar,Miyo'uttaa mapaka,PENDIENTE DE REVISIÓN LOCAL,,,
zoomOut,Alejar,Motsottaa mapaka,PENDIENTE DE REVISIÓN LOCAL,,,
legendAria,Leyenda,Ayaawase mapaka,PENDIENTE DE REVISIÓN LOCAL,,,
mainNavigationAria,Navegación principal,Wopu palajatü,PENDIENTE DE REVISIÓN LOCAL,,,
install,Instalar,Aikkale'eraa,PENDIENTE DE REVISIÓN LOCAL,,,
mapTitle,Mapa,Mapa,PENDIENTE DE REVISIÓN LOCAL,,,
mapIntro,Tus observaciones aparecen aquí cuando tienen posición registrada.,E'rajüin yaa na anaajünakana sümaa apülee GPS.,PENDIENTE DE REVISIÓN LOCAL,,,
myPosition,Mi posición,Tapülee,PENDIENTE DE REVISIÓN LOCAL,,,
layers,Capas,Mapairua,PENDIENTE DE REVISIÓN LOCAL,,,
streetMap,Mapa,Mapa,PENDIENTE DE REVISIÓN LOCAL,,,
satellite,Satélite,Satélite,PENDIENTE DE REVISIÓN LOCAL,,,
noBaseMap,Sin mapa,Nnojotsü mapa,PENDIENTE DE REVISIÓN LOCAL,,,
mapBasesTitle,Mapas de referencia,Mapa süpüla ayaawataa apülee,PENDIENTE DE REVISIÓN LOCAL,,,
mapBasesHelp,"Puedes elegir Mapa, Satélite o Sin mapa. El mapa satelital ayuda a reconocer la costa, pero la imagen puede corresponder a otra fecha y no debe usarse por sí sola para medir cuánto retrocedió la línea de costa.","Pünee mapa, satélite je nnojotsü mapa. Satélite akaalijüsü e'rajawaa palaa, aka nnojotsü süpüla ayaawataa müsü palaa süchiki wane ayaakua ne'e.",PENDIENTE DE REVISIÓN LOCAL,,,
offlineMapNote,Sin mapa base. Los puntos se muestran usando sus coordenadas guardadas.,Nnojotsü mapa süpüla mma. E'iyatünüsü na apülee süka coordenada anaajünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
noMapPoints,Aún no hay puntos para mostrar,Nnojotsü apülee süpüla e'iyataa joolu'u,PENDIENTE DE REVISIÓN LOCAL,,,
mapStartsWithPosition,El mapa se centrará cuando registres una posición o actives Mi posición,Mapaka ee'iyatünü süpülee aa'inru'u süchiki anaajaa wane apülee je Tapülee.,PENDIENTE DE REVISIÓN LOCAL,,,
singleObservation,Observación,E'rajawaa,PENDIENTE DE REVISIÓN LOCAL,,,
permanentPoint,Punto permanente,Apülee ichee,PENDIENTE DE REVISIÓN LOCAL,,,
newObservation,Nueva observación,E'rajawaa jeketü,PENDIENTE DE REVISIÓN LOCAL,,,
registerIntro,Registra lo que ves. No necesitas explicar la causa.,Pünaaja tü pi'rakat. Nnojotsü süpüla pümaa süchiki.,PENDIENTE DE REVISIÓN LOCAL,,,
code,Código,Ayaawase,PENDIENTE DE REVISIÓN LOCAL,,,
location,Ubicación,Apülee,PENDIENTE DE REVISIÓN LOCAL,,,
accuracy,Precisión,Pansawaa GPS,PENDIENTE DE REVISIÓN LOCAL,,,
altitude,Altitud,Yaletaa mma,PENDIENTE DE REVISIÓN LOCAL,,,
direction,Dirección,Wopu / dirección,PENDIENTE DE REVISIÓN LOCAL,,,
notActivated,No activada,Nnojotsü aainjünain,PENDIENTE DE REVISIÓN LOCAL,,,
notAvailable,No disponible,Nnojotsü eewain,PENDIENTE DE REVISIÓN LOCAL,,,
activateObservation,ACTIVAR MODO DE OBSERVACIÓN,A'AINJAA E'RAJAWAA,PENDIENTE DE REVISIÓN LOCAL,,,
sensorHelper,"Se solicitarán solamente los permisos necesarios. Si un sensor no está disponible, el registro puede continuar.","Asaküinjatü ne'e permiso kapülain. Müleka nnojotsü wane sensor, anaasü anaajawaa tü e'rajawaa.",PENDIENTE DE REVISIÓN LOCAL,,,
whatObserve,¿Qué estás observando?,¿Kasa e'rajüin pia?,PENDIENTE DE REVISIÓN LOCAL,,,
multipleObserveHelp,Puedes marcar una o varias opciones. Sin cambio aparente no puede combinarse con un cambio observado.,Pünee wane je waneirua. Nnojotsü ee'irataa nnojotsü sümaa ee'irataa e'rajünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
beachLoss,Pérdida aparente de playa,Mojusu palaa julu'u mma / playa,PENDIENTE DE REVISIÓN LOCAL,,,
sandGain,Acumulación aparente de arena,Miyo'usu wanee / arena,PENDIENTE DE REVISIÓN LOCAL,,,
waterReach,El mar llegó más lejos,Palaa antüsü watta'amüin,PENDIENTE DE REVISIÓN LOCAL,,,
flood,Inundación,Wüin ekerolüsü mma,PENDIENTE DE REVISIÓN LOCAL,,,
homeAffected,Vivienda afectada,Miichi uwomuyusü,PENDIENTE DE REVISIÓN LOCAL,,,
